row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
1381,line,1439,牡鹿幹線,1598,1602,275.0,1905.26,1e-06,1
1382,line,1440,豊里線,1457,588,66.0,205.77,3.4e-05,0
1383,line,1441,万石線,1457,1478,66.0,137.18,6e-05,0
1384,line,1442,山下線,1457,1494,66.0,137.18,0.000182,0
1385,line,1443,富山線(4C1A),1457,663,66.0,137.18,2.9e-05,0
1386,line,1444,重吉線,1457,616,66.0,205.77,0.000122,0
1387,line,1445,豊里線,588,589,66.0,137.18,0.000169,0
1388,line,1446,4C7A,588,1511,66.0,68.59,0.000984,1
1389,line,1447,4C2B,589,1498,66.0,68.59,0.000626,1
1390,line,1448,石巻変電所~豊里町北谷地変電所線,589,1468,66.0,68.59,0.000717,0
1391,line,1449,42C2釜谷線,1498,1514,66.0,68.59,0.001281,1
1392,line,1450,宮釜線,1467,590,66.0,137.18,6e-05,0
1393,line,1451,近内線,1467,1486,66.0,137.18,0.000225,0
1394,line,1452,東宮古線,1467,1536,66.0,137.18,0.000109,0
1395,line,1453,宮釜線,590,591,66.0,137.18,0.00021,0
1396,line,1454,千徳変電所~東宮古変電所線,590,1536,66.0,68.59,0.000394,0
1397,line,1455,津軽石支線,591,1537,66.0,137.18,2e-05,1
1398,line,1456,宮釜線,591,651,66.0,137.18,0.000639,0
1399,line,1457,第二大釜線;遠野線,1484,1530,66.0,137.18,0.000271,0
1400,line,1458,第一大釜線;釜平線,1484,643,66.0,137.18,9.9e-05,0
1401,line,1459,宮釜線,1484,665,66.0,137.18,0.000341,0
1402,line,1460,第二大釜線,1530,646,66.0,68.59,0.001492,0
1403,line,1461,遠野線,1530,647,66.0,68.59,0.000873,0
1404,line,1462,東北電力ネットワーク 66.0kV線,592,593,66.0,68.59,7e-06,0
1405,line,1463,0547線;第一大釜線,592,595,66.0,68.59,9.2e-05,0
1406,line,1464,0547線;第一大釜線,592,600,66.0,68.59,0.000336,0
1407,line,1465,東北電力ネットワーク 66.0kV線,593,594,66.0,68.59,0.000419,1
1408,line,1466,第二大釜線,593,595,66.0,68.59,9.7e-05,0
1409,line,1467,第二大釜線,593,596,66.0,68.59,0.000344,0
1410,line,1468,0547線;第一大釜線;第二大釜線,595,646,66.0,68.59,9.7e-05,0
1411,line,1469,第二立根支線,596,600,66.0,68.59,2e-06,0
1412,line,1470,第二大釜線,596,597,66.0,68.59,0.000297,0
1413,line,1471,大船渡変電所~岩手高田変電所線,597,606,66.0,68.59,0.001667,1
1414,line,1472,0547線;第一大釜線,597,600,66.0,68.59,0.000299,0
1415,line,1473,第一大釜線;第二大釜線,597,1482,66.0,205.77,3.7e-05,0
1416,line,1474,氷上線,598,599,154.0,266.74,0.000609,0
1417,line,1475,室根線,598,1471,154.0,533.47,0.000217,0
1418,line,1476,室根線;氷上線,598,1470,154.0,800.21,6.6e-05,0
1419,line,1477,氷上線;大船渡線;0547線,599,1481,154.0,800.21,4e-06,0
1420,line,1478,0547線;第一大釜線,599,1483,154.0,800.21,0.000163,0
1421,line,1479,大船渡線,599,1589,154.0,266.74,0.000131,0
1422,line,1480,第一立根支線;第二立根支線,1529,600,66.0,137.18,8.5e-05,1
1423,line,1481,高気線,1472,1590,66.0,68.59,0.00204,0
1424,line,1482,牧沢線;本吉線,1472,603,66.0,205.77,8.4e-05,0
1425,line,1483,大高線,1590,650,66.0,68.59,0.000695,0
1426,line,1484,河南線,1456,1477,154.0,533.47,2.2e-05,0
1427,line,1485,重吉線,1456,1584,154.0,1066.94,2.8e-05,0
1428,line,1486,水金線,1470,1522,154.0,1066.94,8.9e-05,0
1429,line,1487,平泉支線,601,1565,66.0,137.18,0.000147,0
1430,line,1488,東山線,601,1564,66.0,137.18,0.000628,1
1431,line,1489,日高線,1565,654,66.0,137.18,0.000232,0
