col,pp_bus,built_node_id,kv,lat,lon
4987,5538,tokyo_sub_1377@500,500.0,36.11431,140.01838
4988,5539,tokyo_sub_1377@66,66.0,36.11431,140.01838
4989,5540,tokyo_sub_1378@500,500.0,36.16775,139.90391
4990,5541,tokyo_sub_1378@154,154.0,36.16775,139.90391
4991,5542,tokyo_sub_1379@275,275.0,36.02679,139.69062
4992,5543,tokyo_sub_1379@154,154.0,36.02679,139.69062
4993,5544,tokyo_sub_1379@66,66.0,36.02679,139.69062
4994,5545,tokyo_sub_1380@275,275.0,35.92337,139.71891
4995,5546,tokyo_sub_1380@154,154.0,35.92337,139.71891
4996,5547,tokyo_sub_1380@66,66.0,35.92337,139.71891
4997,5548,tokyo_sub_1381@154,154.0,36.58162,139.82257
4998,5549,tokyo_sub_1381@66,66.0,36.58162,139.82257
4999,5550,tokyo_sub_1382@500,500.0,36.52302,140.15291
5000,5551,tokyo_sub_1382@275,275.0,36.52302,140.15291
5001,5552,tokyo_sub_1383@275,275.0,35.93308,140.62765
5002,5553,tokyo_sub_1383@66,66.0,35.93308,140.62765
5003,5554,tokyo_sub_1384,500.0,36.71272,139.83219
5004,5555,tokyo_sub_1385,154.0,36.225,139.74238
5005,5556,tokyo_sub_1386,66.0,36.71902,140.06921
5006,5557,tokyo_sub_1387,66.0,36.73986,140.15452
5007,5558,tokyo_sub_1389@154,154.0,36.62399,139.94009
5008,5559,tokyo_sub_1389@66,66.0,36.62399,139.94009
5009,5560,tokyo_sub_1390,66.0,36.00985,139.99097
5010,5561,tokyo_sub_1391@154,154.0,36.32556,139.81691
5011,5562,tokyo_sub_1391@66,66.0,36.32556,139.81691
5012,5563,tokyo_sub_1393,154.0,36.25346,139.79767
5013,5564,tokyo_sub_1394@154,154.0,36.24483,139.75608
5014,5565,tokyo_sub_1394@66,66.0,36.24483,139.75608
5015,5566,tokyo_sub_1395@500,500.0,36.31739,139.93915
5016,5567,tokyo_sub_1395@66,66.0,36.31739,139.93915
5017,5568,tokyo_sub_1396@275,275.0,35.97967,139.71607
5018,5569,tokyo_sub_1396@154,154.0,35.97967,139.71607
5019,5570,tokyo_sub_1397@500,500.0,36.11047,139.71518
5020,5571,tokyo_sub_1397@66,66.0,36.11047,139.71518
5021,5572,tokyo_sub_1398,154.0,36.13222,139.70561
5022,5573,tokyo_sub_1399,66.0,36.09868,139.72082
5023,5574,tokyo_sub_1400,66.0,36.02023,139.67673
5024,5575,tokyo_sub_1401,66.0,36.15612,139.81376
5025,5576,tokyo_sub_1402,66.0,36.17313,139.81531
5026,5577,tokyo_sub_1403,66.0,36.19725,139.81371
5027,5578,tokyo_sub_1404,66.0,35.93007,139.78498
5028,5579,tokyo_sub_1405@154,154.0,36.17493,139.7221
5029,5580,tokyo_sub_1405@66,66.0,36.17493,139.7221
5030,5581,tokyo_sub_1406,66.0,36.23372,139.73905
